Gene,ESRE,ESRE,ESRE,EBI Mac,EBI Mac,EBI Mac,Spl Mac,Spl Mac
1110014N23Rik,261.0842993,292.99969,306.4741223,191.9001113,205.8146674,194.5220147,475.3534315,737.0996679
1110015O18Rik,0,0,0,0,0,0,0,0
1110017D15Rik,2.072097614,2.799360095,3.950863454,0,0,0,0,0
1110017F19Rik,40.40590346,13.99680048,18.62549914,3.666881107,10.06863121,2.526259931,0,0
1110018G07Rik,6839.994222,6895.757035,7158.964579,566.7368467,553.7747166,537.732471,202.2780559,137.3028793
1110018J18Rik,173.0201507,177.292806,223.5059897,49.70661057,45.30884045,60.26934407,10.1139028,28.90586933
1110019D14Rik,13.46863449,7.464960254,22.01195353,8.148624683,5.62658803,8.66146262,20.22780559,0
1110020A21Rik,44.55009869,41.99040143,38.94422548,7.333762215,5.62658803,6.856991241,10.1139028,0
1110020G09Rik,9925.347569,10342.70243,10429.71511,1268.740863,1134.497829,1320.512155,40.45561119,14.45293466
1110021J02Rik,857.848412,795.0182671,848.3068246,236.3101158,232.1707903,255.8740416,75.85427098,43.35880399
1110021L09Rik,0,0,0,20.37156171,17.76817273,21.65365655,0,0
1110028C15Rik,131.5781985,131.5699245,114.5750402,61.52211636,60.11565106,60.99113262,30.34170839,65.03820599
1110028F11Rik,2.072097614,0.933120032,0,4.88917481,8.587950151,7.217885517,5.056951399,0
1110028F18Rik,0,0,0,0,0.296136212,0,0,0
1110031I02Rik,12.43258568,10.26432035,14.11022662,47.6694544,47.38179394,42.94641883,257.9045213,115.6234773
1110032A03Rik,343.9682039,383.5123331,371.9455738,29.33504886,24.87544182,33.20227338,80.91122238,14.45293466
1110032A04Rik,0,0,0,0.407431234,0,1.082682828,0,0
1110032F04Rik,0,0,0,7.741193449,5.034315606,9.022356896,0,0
1110034A24Rik,121.2177104,113.8406439,108.9309495,188.2332302,172.9435479,180.0862436,45.51256259,101.1705427
1110034B05Rik,40.40590346,28.92672099,31.60690764,40.74312342,36.12861788,44.38999593,10.1139028,130.076412
1110034G24Rik,280.7692266,314.4614507,306.4741223,21.18642418,23.69089697,35.72853331,268.0184241,180.6616833
1110035M17Rik,1.036048807,0,0,0.407431234,2.369089697,0.721788552,10.1139028,28.90586933
1110036E04Rik,0,0,0.564409065,0,0.296136212,0.360894276,0,0
1110037F02Rik,670.323578,644.785942,667.6959238,587.9232709,589.0149259,561.5514932,262.9614727,202.3410853
1110038B12Rik,109.8211735,81.18144277,75.06640563,250.9776402,240.166468,219.784614,111.2529308,72.26467332
1110038D17Rik,8696.593684,8516.58653,9369.754887,628.6663943,526.2340489,643.4744938,328.7018409,361.3233666
1110038F14Rik,58.01873318,46.65600159,38.94422548,134.044876,103.6476742,109.3509656,359.0435493,751.5526025
1110046J04Rik,0,0,0,0,0.592272424,1.082682828,15.1708542,0
1110049F12Rik,4161.808057,4185.043343,4154.615127,412.320409,359.8054977,377.8563068,348.9296465,202.3410853
1110050K14Rik,0,0,0,0.407431234,0.592272424,1.082682828,0,0
1110051M20Rik,9.324439261,14.92992051,9.594954104,24.03844282,23.98703318,24.90170503,136.5376878,209.5675526
1110054M08Rik,0,0,0,2.037156171,2.072953485,2.526259931,85.96817378,137.3028793
1110054O05Rik,66.30712363,103.5763235,120.7835399,191.0852488,193.9692189,183.6951864,192.1641531,79.49114065
1110057K04Rik,139.8665889,220.2163275,207.7025359,268.9046145,210.848983,245.4081076,268.0184241,231.2469546
1110058L19Rik,88.06414858,98.91072337,90.86985945,33.4093612,32.87111954,37.89389896,141.5946392,93.94407532
1110059E24Rik,16.57678091,19.59552067,18.62549914,66.41129117,66.33451151,94.19340599,126.423785,158.9822813
1110059G10Rik,91.172295,103.5763235,132.0717212,76.18964079,52.41610954,70.73527806,171.9363476,151.755814
1110059M19Rik,0,0,0,0,0,0,0,0
1110065P20Rik,15.5407321,39.19104134,13.54581756,37.07624231,45.01270424,51.24698717,121.3668336,108.39701
1110067D22Rik,26.93726898,12.13056041,22.5763626,45.63229823,50.34315606,53.7732471,10.1139028,50.58527133
1190002F15Rik,420.6358156,425.5027345,344.8539387,112.4510206,90.02540848,126.3129965,65.74036818,21.679402
1190002H23Rik,284.9134219,327.5251312,251.726443,318.6112251,252.6041889,434.8776024,91.02512518,195.114618
1190002N15Rik,18.64887852,14.92992051,37.25099828,138.9340508,140.960837,147.9666531,111.2529308,122.8499446
1190003J15Rik,1.036048807,2.799360095,1.12881813,0,0.296136212,0.721788552,0,0
1190003K10Rik,0,0,0,0,0,0,0,0
1190005F20Rik,383.3380585,374.1811327,360.0929834,160.120475,157.5444648,163.485107,156.7654934,158.9822813
1190005I06Rik,1.036048807,4.665600159,1.12881813,0.814862468,2.072953485,1.443577103,0,0
1190007F08Rik,1453.576476,1487.393331,1443.193979,912.6459645,836.5847992,890.6870728,217.4489101,274.6057586
1190007I07Rik,11.39653687,18.66240064,22.5763626,53.37349167,44.42043181,61.71292117,70.79731958,65.03820599
1200009I06Rik,0,0,0,13.03779949,10.95703985,11.9095111,15.1708542,36.13233666
1200011I18Rik,356.4007895,359.2512122,330.743712,343.4645304,347.9600492,367.0294785,197.2211045,108.39701
1200011M11Rik,77.70366051,79.3152027,64.90704247,161.7502,156.35992,136.4180363,35.39865979,7.226467332
1200014J11Rik,286.9855195,297.6652901,291.7994866,395.2082971,381.7195774,394.8183378,171.9363476,151.755814
1200016B10Rik,1388.305401,1434.205489,1462.383887,123.4516639,112.8278968,127.7565736,359.0435493,354.0968993
1300001I01Rik,225.8586399,223.9488076,198.1075818,1456.159231,1454.028801,1313.655164,591.6633136,578.1173866
1300002E11Rik,199.9574197,212.7513672,208.266945,84.33826547,69.59200984,83.36657772,15.1708542,0
1300002K09Rik,0,0,0,2.852018639,1.184544848,2.526259931,15.1708542,7.226467332
1300010F03Rik,0,0,0,215.5311229,221.2137504,166.0113669,116.3098822,202.3410853
1300014I06Rik,0,0,0,4.88917481,5.62658803,6.856991241,136.5376878,101.1705427
1300015D01Rik,0,0,0,1.222293702,0.592272424,1.804471379,0,0
1300017J02Rik,188.5608828,229.5475278,238.7450345,226.9391974,225.3596574,248.2952618,65.74036818,50.58527133
1300018I17Rik,8.288390454,10.26432035,17.49668101,69.26330981,71.36882712,53.41235282,268.0184241,180.6616833
1300018J18Rik,99.46068545,104.5094436,95.94954104,151.9718503,163.1710529,139.3051905,217.4489101,180.6616833
1500001M20Rik,36.26170824,27.06048092,37.25099828,143.8232257,126.4501626,143.2750275,151.708542,151.755814
1500002O10Rik,0,0,0,0,0.888408636,0.360894276,0,0
1500002O20Rik,290.0936659,242.6112083,264.7078514,213.0865355,204.9262588,170.7029925,470.2964801,607.0232559
1500003O03Rik,5475.517944,6083.942607,6508.200928,444.5074765,478.852255,481.7938582,429.8408689,281.832226
1500004A13Rik,46.62219631,36.39168124,37.25099828,27.29789269,32.27884712,27.78885924,0,0
1500009C09Rik,0,0,0,0,0,0,0,0
1500009L16Rik,0,0,0,0.407431234,2.665225909,2.165365655,0,0
1500010J02Rik,630.9537233,610.2605008,603.9176995,387.4671037,368.6895841,345.7367163,141.5946392,101.1705427
1500011B03Rik,228.9667863,195.9552067,177.2244464,59.07752895,53.8967906,65.32186393,121.3668336,72.26467332
1500011H22Rik,151.2631258,158.6304054,133.7649484,94.93147756,83.80654802,94.19340599,30.34170839,28.90586933
1500011K16Rik,35.22565943,22.39488076,19.75431727,51.74376674,39.97838863,63.15649827,237.6767157,390.2292359
1500012F01Rik,393.6985466,380.712973,351.0624384,297.0173697,264.7457736,288.3545264,182.0502504,252.9263566
1500012K07Rik,0,0,0,0,0,0,0,0
1500015A07Rik,24.86517136,5.598720191,28.22045325,10.59321209,11.84544848,14.07487676,0,14.45293466
1500015L24Rik,0,0,0,0,0,0,0,0
1500015O10Rik,0,0.933120032,0,0.407431234,0.296136212,1.082682828,0,0
1500016L03Rik,0,0,0,0,0,0,0,0
