"GENEID","GENENAME","EKLF_GFP_log2","EKLF_minus_log2"
"ENSMUSG00000033487","Fndc3a",10.3510788007082,11.7388492043346
"ENSMUSG00000033488","BC026585",6.43332739414152,7.38708997346376
"ENSMUSG00000033499","Larp4b",12.8648927807011,12.5832977914342
"ENSMUSG00000033502","Cdc14a",8.00233709555766,8.84330126264493
"ENSMUSG00000033508","Asprv1",3.75610975365456,6.21542461253475
"ENSMUSG00000033526","Ppip5k1",9.48207527982137,8.91530421207418
"ENSMUSG00000033530","Ttc7b",6.76763504713487,8.24714766403451
"ENSMUSG00000033533","Acsm1",1.70417612938638,0.849595210096942
"ENSMUSG00000033538","Casp4",4.00425532186138,7.6998166954336
"ENSMUSG00000033540","Idua",7.31081997531566,8.14949554029053
"ENSMUSG00000033542","Arhgef5",5.85394576353643,7.44523340662091
"ENSMUSG00000033543","Gtf2a2",12.2895693112658,11.6361277066002
"ENSMUSG00000033545","Znrf1",7.931336730584,9.05373038423003
"ENSMUSG00000033554","Dph5",9.81747827416417,9.64064096370724
"ENSMUSG00000033557","Fam20b",9.73912749873149,9.2868499615793
"ENSMUSG00000033565","Rbfox2",2.16510972249278,2.33290781133515
"ENSMUSG00000033569","Bai3",1.68055388528469,0.0951642316757511
"ENSMUSG00000033576","Apol6",1.66706597530216,-0.374987204788777
"ENSMUSG00000033577","Myo6",7.75759910566673,7.95729718270319
"ENSMUSG00000033581","Igf2bp2",7.2297392224407,9.37949939588253
"ENSMUSG00000033585","Ndn",4.55804925309987,6.36270590308549
"ENSMUSG00000033589","Reep4",7.26340893890368,6.96562195275623
"ENSMUSG00000033590","Myo5c",1.75308297508201,3.53331764308161
"ENSMUSG00000033594","Spata2l",3.69681595987976,3.94764813289893
"ENSMUSG00000033596","Rfwd3",12.780959547331,12.5359514179482
"ENSMUSG00000033610","Pank1",7.86839440144483,8.40354836508038
"ENSMUSG00000033618","Map3k13",5.23015561665604,4.62842206038735
"ENSMUSG00000033623","Pcgf3",9.98616628753983,9.69069481042654
"ENSMUSG00000033624","Pdpr",9.71686887699568,9.88346944638584
"ENSMUSG00000033628","Pik3c3",10.7488355698032,10.8572084917811
"ENSMUSG00000033629","Ptplad1",10.3584842396634,9.90292090149217
"ENSMUSG00000033632","AW554918",8.85529618310057,8.66787042359383
"ENSMUSG00000033644","Piwil2",3.16335140405726,3.34821875722278
"ENSMUSG00000033653","Vps8",10.5526196829344,10.8833408549741
"ENSMUSG00000033658","Ddx19b",9.62963131017716,9.64083235880515
"ENSMUSG00000033669","Zfp7",6.87233678815836,6.55694597258977
"ENSMUSG00000033671","Cep350",13.1835502191375,13.0677507544043
"ENSMUSG00000033684","Qsox1",8.84878612058805,8.64074584403289
"ENSMUSG00000033685","Ucp2",12.5427054485346,12.049605005021
"ENSMUSG00000033688","1300017J02Rik",10.6715655741801,8.96133858508468
"ENSMUSG00000033697","Arhgap39",9.24409946981863,9.4323435371837
"ENSMUSG00000033701","Acbd6",10.5816361308276,10.3004231318007
"ENSMUSG00000033703","Fuk",7.22282569269472,6.9852655625409
"ENSMUSG00000033705","Stard9",7.6389559659573,8.75308404678927
"ENSMUSG00000033706","Smyd5",9.99721868114829,10.3328673114123
"ENSMUSG00000033707","Lrrc24",6.50068792925919,5.85408470910694
"ENSMUSG00000033712","Ccar2",10.4222895967106,10.7389447919937
"ENSMUSG00000033713","Foxn3",9.04920504029956,9.23139476253353
"ENSMUSG00000033720","Sfxn5",5.87219041139665,6.83409859108019
"ENSMUSG00000033721","Vav3",8.93752393718798,11.3939095346483
"ENSMUSG00000033728","Lrrc14",8.44686607386061,8.10595237086425
"ENSMUSG00000033730","Egr3",0.493649095857864,2.26999759190984
"ENSMUSG00000033732","Sf3b3",13.732632901497,13.5621778602807
"ENSMUSG00000033735","Spr",7.53286459821306,7.42329534779734
"ENSMUSG00000033737","Fndc3c1",4.53204642652212,4.62850110064193
"ENSMUSG00000033739","Fkbpl",6.18023421325791,6.66582274580561
"ENSMUSG00000033740","St18",0.142706174803629,4.53246334158865
"ENSMUSG00000033751","Gadd45gip1",9.15151844074884,8.90075548159792
"ENSMUSG00000033752","Mnd1",8.80436681396937,8.89683176632756
"ENSMUSG00000033760","Rbm4b",6.63978703797963,6.85964264886333
"ENSMUSG00000033762","Recql4",9.63420050570212,8.9215965507364
"ENSMUSG00000033763","Mtss1l",5.47800304554916,6.06312265461202
"ENSMUSG00000033767","D930015E06Rik",11.6771277588931,11.6012172755712
"ENSMUSG00000033768","Nrxn2",1.46605863812255,3.15814884531315
"ENSMUSG00000033769","Exoc6b",8.06389875806033,8.63741468837269
"ENSMUSG00000033773","Rpap2",9.59053733349874,9.66679344565494
"ENSMUSG00000033777","Tlr13",6.63593726780078,8.2227149407301
"ENSMUSG00000033781","Asb13",5.23265392273365,3.93162231445192
"ENSMUSG00000033788","Dysf",6.71773926216814,7.0133001881267
"ENSMUSG00000033790","Tubgcp5",1.80392422608832,-Inf
"ENSMUSG00000033792","Atp7a",9.31520695316327,10.0430224197424
"ENSMUSG00000033793","Atp6v1h",11.1648565160001,11.3869226281147
"ENSMUSG00000033799","Fam208b",11.4551886735836,11.3835945339754
"ENSMUSG00000033805","Ephx4",2.54263200579529,-1.84060436886138
"ENSMUSG00000033808","Tmem87a",11.39144422289,11.223126683255
"ENSMUSG00000033809","Alg3",8.60499465126678,8.12926371187961
"ENSMUSG00000033813","Tcea1",12.7742324790465,12.5332984417018
"ENSMUSG00000033819","Ppp1r16a",7.23525860892934,6.74967099695455
"ENSMUSG00000033826","Dnah8",11.2318019472149,10.6690364527742
"ENSMUSG00000033831","Fgb",8.87931691495764,8.89209521889763
"ENSMUSG00000033837","Foxh1",6.34191971376098,4.7068045640353
"ENSMUSG00000033845","Mrpl15",10.7638782671271,10.5253018671441
"ENSMUSG00000033847","Pla2g4c",8.4954920537043,7.4254807969961
"ENSMUSG00000033852","Gm28042",5.21001828990657,5.17691142141276
"ENSMUSG00000033855","Ston1",4.18764101880374,4.70786595633019
"ENSMUSG00000033857","Engase",7.94686843385245,7.96106299323878
