""	"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"NA.198"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.199"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.200"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.201"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.202"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.203"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.204"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.205"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.206"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.207"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.208"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.209"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.210"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.211"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.212"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.213"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.214"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.215"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.216"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.217"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.218"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.219"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.220"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.221"	NA	NA	NA	NA	NA	NA	NA	NA
"568"	"1810020D17Rik"	90.4901996723807	63.7917662675013	117.18863307726	1.83704951177942	0.87739051019234	0.000785413088853415	0.0119046183896211
"NA.222"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.223"	NA	NA	NA	NA	NA	NA	NA	NA
"589"	"1810043H04Rik"	218.473716672562	159.892796459734	277.05463688539	1.73275246302394	0.793065569169014	0.00254460874877651	0.0288842718701586
"591"	"1810046J19Rik"	368.561832678419	264.857137986793	472.266527370044	1.78309911131636	0.834386895576841	1.04502371905345e-05	0.000330685838957317
"NA.224"	NA	NA	NA	NA	NA	NA	NA	NA
"594"	"1810049H13Rik"	58.9061549505841	41.8025528727495	76.0097570284187	1.81830418969384	0.862593572608046	0.00458482093915837	0.0447249406595995
"NA.225"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.226"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.227"	NA	NA	NA	NA	NA	NA	NA	NA
"616"	"2010011I20Rik"	2902.54455357132	3648.1719725544	2156.91713458825	0.591232307800995	-0.758202987394592	5.84806013939883e-06	0.00019902162402705
"NA.228"	NA	NA	NA	NA	NA	NA	NA	NA
"629"	"2010109K11Rik"	868.786369199078	1131.34522214103	606.22751625713	0.535846622580743	-0.900107983210996	2.45263764353916e-07	1.16110827234949e-05
"638"	"2010317E24Rik"	770.940877135074	629.783653674304	912.098100595843	1.44827210943703	0.534332689474889	0.00187544231073531	0.023058863639218
"648"	"2210013O21Rik"	164.328037065277	129.774952843033	198.881121287522	1.53250775230931	0.615894371919257	0.00473027542749082	0.0456989704797279
"650"	"2210016F16Rik"	710.138980746321	592.509062384729	827.768899107913	1.39705694251546	0.482390824620293	0.00449911027687608	0.0441514973144797
"651"	"2210016L21Rik"	370.324488471327	295.976918909338	444.672058033316	1.50238761749366	0.587257077626354	0.00169014624017251	0.0212736690397708
"NA.229"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.230"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.231"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.232"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.233"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.234"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.235"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.236"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.237"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.238"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.239"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.240"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.241"	NA	NA	NA	NA	NA	NA	NA	NA
"689"	"2310004I24Rik"	184.638112042609	143.110672229524	226.165551855695	1.58035419953144	0.660247941085056	0.00171717603854875	0.0215601953102807
"690"	"2310004N24Rik"	362.478595389246	272.695996531745	452.261194246747	1.65848123917763	0.729862692380092	0.000168848242117503	0.003496573757834
"NA.242"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.243"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.244"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.245"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.246"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.247"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.248"	NA	NA	NA	NA	NA	NA	NA	NA
"714"	"2310022B05Rik"	346.727024798196	467.933142659742	225.520906936649	0.4819511301439	-1.05304123032734	3.73572194377995e-08	2.07326820615258e-06
"NA.249"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.250"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.251"	NA	NA	NA	NA	NA	NA	NA	NA
"725"	"2310035K24Rik"	246.587225576866	165.810329980188	327.364121173544	1.97432886848883	0.981362322833852	1.14180502221541e-06	4.68062208765894e-05
"NA.252"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.253"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.254"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.255"	NA	NA	NA	NA	NA	NA	NA	NA
"738"	"2310045N01Rik"	256.131822182929	203.737736042598	308.52590832326	1.51432873612943	0.59867842494204	0.00263079064297306	0.0297129435361961
"NA.256"	NA	NA	NA	NA	NA	NA	NA	NA
