Gene_id	EKLF+/+ rep1	EKLF+/+ rep2	EKLF+/+ rep3	EKLF-/- rep1	EKLF-/- rep2	EKLF-/- rep3
Ly6i	0	0	2	0	1	2
Ly6k	1	1	6	4	10	3
Ly75	104	208	116	134	54	83
Ly86	144	233	216	305	498	302
Ly9	125	176	149	175	207	192
Ly96	5	10	16	15	19	9
Lyar	1965	2297	2058	2135	2507	2146
Lyg1	0	0	0	0	0	0
Lyg2	0	0	0	0	0	0
Lyl1	1753	2426	1764	2655	3150	2337
Lyn	794	1322	964	1747	1827	1488
Lynx1	0	0	1	0	0	1
Lypd1	1	8	5	7	8	5
Lypd2	0	0	0	0	0	0
Lypd3	0	0	0	0	0	0
Lypd4	0	0	0	0	0	0
Lypd5	0	0	0	0	0	0
Lypd6	1	12	8	1	3	3
Lypd6b	1	2	1	0	0	2
Lypla1	716	922	841	1061	959	890
Lypla2	892	1158	870	1209	1528	1165
Lyplal1	70	99	85	76	95	84
Lyrm1	10	17	25	26	29	34
Lyrm2	143	195	184	268	305	252
Lyrm4	172	223	225	252	279	276
Lyrm5	92	115	122	176	237	194
Lyrm7	13	13	19	14	23	15
Lysmd1	17	31	20	21	47	43
Lysmd2	17	45	21	26	26	18
Lysmd3	370	512	496	476	222	363
Lysmd4	65	88	79	152	138	113
Lyst	934	1657	989	1153	419	743
Lyve1	309	301	334	257	194	153
Lyz1	1	5	4	8	3	7
Lyz2	4497	8816	6609	9397	15464	10952
Lyzl1	0	0	0	0	0	0
Lyzl4	0	0	0	0	1	0
Lyzl6	0	0	0	0	0	0
Lzic	364	505	348	488	517	491
Lztfl1	250	295	306	294	238	308
Lztr1	458	677	510	763	696	708
Lzts1	4	7	7	25	5	9
Lzts2	185	419	198	261	348	281
M6pr	2197	2938	2654	3431	3561	3391
MGC107098	0	0	0	0	0	0
Mab21l1	0	3	0	0	1	0
Mab21l2	9	5	5	1	0	1
Mab21l3	1	2	3	1	2	1
Macc1	0	0	0	0	0	0
Macf1	3493	5802	3724	3004	1259	2135
Macrod1	93	157	118	121	195	153
Macrod2	47	65	75	52	64	45
Mad1l1	849	1120	879	1222	1156	1018
Mad2l1	1232	1686	1761	2078	1792	1848
Mad2l1bp	206	330	253	426	486	403
Mad2l2	189	215	186	241	270	245
Madcam1	0	3	1	3	9	0
Madd	856	1346	831	1175	823	1059
Maea	1213	1790	1357	1799	1826	1667
Mael	0	0	0	0	0	0
Maf	181	246	204	236	361	209
Maf1	908	1155	933	1251	1329	1198
Mafa	0	0	0	0	0	0
Mafb	95	174	124	130	200	131
Maff	14	54	14	45	55	45
Mafg	526	749	555	632	472	640
Mafk	1009	1320	1111	951	674	750
Mag	7	6	5	5	3	5
Magea1	0	0	0	0	0	0
Magea10	0	0	0	0	0	0
Magea2	0	0	0	0	0	0
Magea3	0	0	0	0	0	0
Magea4	0	0	0	0	0	0
Magea5	0	0	0	0	0	0
Magea6	0	0	0	0	0	0
Magea8	0	0	0	0	0	0
Mageb1	0	0	0	0	0	0
Mageb16	0	0	0	0	0	0
Mageb16-ps1	0	0	0	0	0	0
Mageb18	0	0	0	0	0	0
Mageb2	0	0	0	0	0	0
Mageb3	1	1	4	0	0	1
Mageb4	0	0	0	0	0	0
Mageb5	0	0	0	0	0	0
Maged1	264	484	316	3595	3103	3224
Maged2	225	346	211	271	316	270
Magee1	31	53	40	53	43	28
Magee2	4	10	3	20	40	30
Mageh1	6	15	6	4	8	3
Magel2	0	0	0	1	0	0
Magi1	50	60	38	157	68	109
Magi2	1	3	0	1	4	2
Magi3	167	236	168	178	93	146
Magix	2	0	0	3	1	1
Magoh	846	928	1133	1156	1392	1052
Magohb	121	149	195	173	280	157
Magt1	1477	1874	1724	2077	1945	1881
Mak	2	3	3	18	6	7
Mak16	921	1209	1140	1099	1106	928
Mal	0	0	0	0	0	0
Mal2	2	2	6	6	6	5
Malat1	12856	15498	12103	10064	4083	10147
Mall	0	0	0	0	0	0
Malt1	418	540	403	482	299	412
Mamdc2	7	22	19	7	8	14
Mamdc4	44	68	46	74	60	78
Maml1	541	739	490	691	507	565
Maml2	45	60	47	54	23	37
Maml3	231	443	224	219	126	208
Mamld1	0	1	3	1	1	0
Mamstr	3	3	1	3	0	2
Man1a	711	835	780	469	200	309
Man1a2	1074	1515	1155	1236	702	906
Man1b1	1121	1488	1238	1516	1289	1337
Man1c1	295	569	300	485	465	435
Man2a1	984	1379	915	1096	965	946
Man2a2	965	1473	859	1070	798	968
Man2b1	1824	3160	1695	3740	4271	3466
Man2b2	641	919	604	1017	1018	1008
Man2c1	603	988	639	820	826	771
Manba	354	542	311	505	440	389
Manbal	200	269	162	306	304	275
Manea	304	400	374	348	235	300
Maneal	7	4	4	4	6	1
Manf	1655	2036	1830	2374	3755	2152
Mansc1	33	68	31	21	46	32
Maoa	288	333	327	240	250	178
Maob	30	37	52	65	39	37
Map1lc3a	51	104	83	100	176	114
Map1lc3b	514	697	621	854	1061	877
Map2k1	829	1228	1051	1556	1468	1463
Map2k2	2229	2875	2364	2834	3494	2656
